tx_hash,from_address,to_address,value_eth,gas_price,timestamp,final_status,final_score,reasons,agent_1_score,agent_2_score,agent_3_score,is_fraud
0x00000000000ceac639ed337ae2372f47ecf591b84ab17436f7d6554751b5d12a,0xnorm0000000000000000000000000000000000004,0xnorm000000000000000000000000000000000000e,14.860149,16.69,2025-10-02T18:18:49Z,DENY,55.0,"ML Model: Behavioral anomaly detected (raw score: -0.616, risk add: 25) | History: Value 20.6x higher than wallet avg (0.7212 ETH) | Network analysis skipped (simulation removed)",0,55,0,0
0x000000000003f7c449fe072046455d1d040a801d191e3652030ce6675380e0ec,0xnorm0000000000000000000000000000000000000,0xnorm000000000000000000000000000000000000a,0.081341,77.41,2025-10-03T15:46:08Z,APPROVE,22.0,"ML Model: Behavioral anomaly detected (raw score: -0.548, risk add: 22) | Network analysis skipped (simulation removed)",0,22,0,0
0x00000000000922f1bd8ba9c5c193cfa57064944a0074de84d1faf6b7ab45931b,0xnorm0000000000000000000000000000000000000,0xnorm0000000000000000000000000000000000003,1.942781,17.16,2025-10-08T09:11:43Z,APPROVE,20.0,"ML Model: Behavioral anomaly detected (raw score: -0.504, risk add: 20) | Network analysis skipped (simulation removed)",0,20,0,0
0x000000000009fee013855b1a333c4cb9f002150dbcb9c9995b182cdad1c17417,0xnorm0000000000000000000000000000000000004,0xnorm000000000000000000000000000000000000f,0.545666,39.44,2025-10-05T05:03:45Z,APPROVE,16.0,"ML Model: Behavioral anomaly detected (raw score: -0.438, risk add: 16) | Network analysis skipped (simulation removed)",0,16,0,0
0x00000000001271e07f2c34e5e7fa86e451200efd55babd9d3a62e1e4761e873f,0xnorm0000000000000000000000000000000000001,0xnorm0000000000000000000000000000000000009,0.328592,24.39,2025-10-10T18:33:03Z,APPROVE,17.0,"ML Model: Behavioral anomaly detected (raw score: -0.446, risk add: 17) | Network analysis skipped (simulation removed)",0,17,0,0
0x00000000001170537c5316cb2f50dd2f479e12ca7beb5e7c0d53bd6cc88ba3bc,0xnorm0000000000000000000000000000000000011,0xnorm0000000000000000000000000000000000009,0.472185,17.64,2025-10-17T14:03:58Z,APPROVE,19.0,"ML Model: Behavioral anomaly detected (raw score: -0.486, risk add: 19) | Network analysis skipped (simulation removed)",0,19,0,0
0x000000000014e07ce8024af3dbc3944e83a7c9b8a1564acef668dc42d001f621,0xnorm0000000000000000000000000000000000007,0xnorm0000000000000000000000000000000000006,6.360235,60.1,2025-10-16T10:37:03Z,APPROVE,19.0,"ML Model: Behavioral anomaly detected (raw score: -0.487, risk add: 19) | Network analysis skipped (simulation removed)",0,19,0,0
0x000000000013ab2a8db8fc60f6469254c08f52f971acd075cecd247e01d92ef5,0xnorm0000000000000000000000000000000000010,0xnorm0000000000000000000000000000000000008,10.100787,21.51,2025-10-13T22:03:47Z,FLAG_FOR_REVIEW,38.0,"ML Model: Behavioral anomaly detected (raw score: -0.568, risk add: 23) | History: Value 9.4x higher than wallet avg (1.0787 ETH) | Network analysis skipped (simulation removed)",0,38,0,0
0x000000000014d681e80f5d78a17a8fcac4b87daa2a946d655956c0006935b262,0xnorm0000000000000000000000000000000000012,0xnorm000000000000000000000000000000000000f,3.320469,71.67,2025-10-12T06:50:09Z,FLAG_FOR_REVIEW,33.0,"ML Model: Behavioral anomaly detected (raw score: -0.479, risk add: 18) | History: Value 5.3x higher than wallet avg (0.6317 ETH) | Network analysis skipped (simulation removed)",0,33,0,0
0x000000000013ff3f07f4c86fae1d1c95bbac379e43e4a2d73c9d5564ffa2d0fd,0xnorm000000000000000000000000000000000000f,0xnorm0000000000000000000000000000000000004,3.627322,67.22,2025-10-18T12:28:43Z,APPROVE,18.0,"ML Model: Behavioral anomaly detected (raw score: -0.463, risk add: 18) | Network analysis skipped (simulation removed)",0,18,0,0
0x0000000000086c4c6d209a42680c83add23f6e88fda4858e1a39000510aa4b4d,0xnorm0000000000000000000000000000000000013,0xnorm000000000000000000000000000000000000f,1.275699,43.65,2025-10-18T16:37:51Z,APPROVE,16.0,"ML Model: Behavioral anomaly detected (raw score: -0.434, risk add: 16) | Network analysis skipped (simulation removed)",0,16,0,0
0x00000000000e3373cbca36aa548c6335d30e42a7bd22c375621f572a3a7472ce,0xnorm000000000000000000000000000000000000f,0xnorm000000000000000000000000000000000000a,5.022581,58.81,2025-10-12T15:35:07Z,APPROVE,18.0,"ML Model: Behavioral anomaly detected (raw score: -0.463, risk add: 18) | Network analysis skipped (simulation removed)",0,18,0,0
0x000000000006d33f3597e1cca61c2639bd83dc6883c60162c734a49220f6e29e,0xnorm000000000000000000000000000000000000f,0xnorm0000000000000000000000000000000000009,1.196392,57.78,2025-10-18T19:13:12Z,APPROVE,17.0,"ML Model: Behavioral anomaly detected (raw score: -0.451, risk add: 17) | Network analysis skipped (simulation removed)",0,17,0,0
0x00000000000450ec9eb30d9f5b87f8989f40421f27dab6f166a32f2aa40a321e,0xnorm0000000000000000000000000000000000005,0xnorm0000000000000000000000000000000000007,2.978221,44.42,2025-10-14T01:06:17Z,APPROVE,17.0,"ML Model: Behavioral anomaly detected (raw score: -0.457, risk add: 17) | Network analysis skipped (simulation removed)",0,17,0,0
0x000000000006c05940a87d3865264a046a9065629bd4d8db82791ac72f30ee2b,0xnorm0000000000000000000000000000000000001,0xnorm000000000000000000000000000000000000e,2.400988,41.66,2025-10-06T00:41:50Z,APPROVE,17.0,"ML Model: Behavioral anomaly detected (raw score: -0.453, risk add: 17) | Network analysis skipped (simulation removed)",0,17,0,0
0x00000000000550f7491de92bb87f2099b598b8c711d94c724bfdb1756606ae20,0xbad00000000000000000000000000000000000000,0xnorm0000000000000000000000000000000000013,7.530361,92.41,2025-10-15T16:17:06Z,DENY,101.0,"From-Wallet (0xbad00000...) on Threat List | ML Model: Behavioral anomaly detected (raw score: -0.633, risk add: 26) | Network analysis skipped (simulation removed)",50,26,0,1
0x00000000000b39b6206f0747535fd5a58082a0e0749d6a9d60a6a8417996ffdf,0xnorm0000000000000000000000000000000000001,0xnorm000000000000000000000000000000000000a,4.622928,30.4,2025-10-15T18:27:18Z,FLAG_FOR_REVIEW,33.0,"ML Model: Behavioral anomaly detected (raw score: -0.477, risk add: 18) | History: Value 6.6x higher than wallet avg (0.7020 ETH) | Network analysis skipped (simulation removed)",0,33,0,0
0x00000000000d3760a64b782de857405bfa990d85b68897f8bc178d18a3df2a97,0xnorm0000000000000000000000000000000000001,0xnorm0000000000000000000000000000000000002,5.343281,46.86,2025-10-13T04:14:03Z,FLAG_FOR_REVIEW,34.0,"ML Model: Behavioral anomaly detected (raw score: -0.493, risk add: 19) | History: Value 7.6x higher than wallet avg (0.7020 ETH) | Network analysis skipped (simulation removed)",0,34,0,0
0x000000000009cc12f6b77ff64bfc2a29544314f7b561967409b800f41520c0ef,0xnorm0000000000000000000000000000000000012,0xnorm000000000000000000000000000000000000f,4.683785,63.83,2025-10-03T12:02:54Z,FLAG_FOR_REVIEW,33.0,"ML Model: Behavioral anomaly detected (raw score: -0.469, risk add: 18) | History: Value 7.4x higher than wallet avg (0.6317 ETH) | Network analysis skipped (simulation removed)",0,33,0,0
